substance,common_name,alt_names,type,mechanism,source,evidence_floor,candidate,duke_uses,gn_mechanism,gn_warning,matched_chem,duke_activities,duke_superacts,n_cousins
React (blend),React (blend),blend,,,curated,human_trial,True,,,,,,,0
Probiotics,Probiotics,,,,curated,human_trial,True,,,,,,,0
Vitamin C,Vitamin C,,,,curated,human_trial,True,,,,,,,0
Melatonin,Melatonin,,,,curated,human_trial,True,,antioxidant;anti_inflammatory,antioxidant_chemo_timing;immunotherapy_caution,MELATONIN,Anaphrodisiac;Antiaggregant;Anticonvulsant;Antidepressant;Antigonadotrophic;Antiinsomniac;Antioxidant;Antiradicular;Antithyreotropic;Aphrodisiac;COX-2-Inhibitor;Contraceptive;Cyclooxygenase-Inhibitor;Depressant;GABA-nergic;Gonadotrophic;Hypnotic;Hypocholesterolemic;Hypothermic;Immunostimulant;Progesteronigenic;Serotoninergic;Thyrotropic,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Altitude Sickness;Alzheimers;Amenorrhea;Angina;Anthrax;Anxiety Disorders;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Conjunctivitis;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diverticulitis;Dry Mouth / Xerostomia;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Gingivitis;Glaucoma;Gout;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Insomnia;Intermittent Claudication;Ischemia;Itch;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Menopause;Migraine;Multiple Sclerosis;Neuropathy;Nightmare;Obesity;Ophthalmia;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Prostatitis;Psoriasis;Raynauds Disease;Rheumatism;Sciatica;Sepsis;Sinusitis;Snakebite;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles,23
Butyrate,Butyrate,,,,curated,human_trial,True,,,,,,,0
Green Tea / EGCG,Green Tea / EGCG,,,,curated,human_trial,True,,,,,,,0
Magnesium,Magnesium,,,,curated,human_trial,True,,anti_inflammatory;immune_modulating,immunotherapy_caution,MAGNESIUM,AntiCFS;AntiLyme;AntiMS;AntiPMS;AntiRaynaud's;Antiaggregant;Antialcoholic;Antianginal;Antianorectic;Antianxiety;Antiarrhythmic;Antiarthritic;Antiasthmatic;Antiatherosclerotic;Anticephalagic;Anticlimacteric;Anticonvulsant;Anticoronary;Antidepressant;Antidiabetic;Antidysmenorrheic;Antiendometriotic;Antienterotic;Antiepileptic;Antifatigue;Antifibromyalgic;Antigastrotic;Antiglaucomic;Antihyperkinetic;Antihypertensive;Antihypoglycemic;Antiinflammatory;Antiinsomniac;Antilithic;Antimastalgic;Antimenopausal;Antimigraine;Antimitral-valve-prolapse;Antinephrolytic;Antineurotic;Antiosteoporotic;Antiplaque;Antiretinopathic;Antispasmodic;Antispasmophilic;Antistress;Antistroke;Antisyndrome-X;Anxiolytic;CNS-Depressant;Calcium-Antagonist;Cardioprotective;Diuretic;Hypocholesterolemic;Hypotensive;Immunomodulator;Insulinogenic;Laxative;Litholytic;Myorelaxant;Neurotransmitter;Tranquilizer;Uterorelaxant;Vasodilator,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Altitude Sickness;Alzheimers;Amenorrhea;Angina;Anorexia;Anthrax;Anxiety Disorders;Apoplexy/Stroke;Appetite;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Breast Feeding Problems;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Conjunctivitis;Constipation;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diarrhea;Diverticulitis;Dry Mouth / Xerostomia;Dysentery;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Giardia;Gingivitis;Glaucoma;Gout;Halitosis;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;Hiccups;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Insomnia;Intermittent Claudication;Intestinal Parasites;Ischemia;Itch;Jaundice;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Menopause;Migraine;Motion Sickness;Multiple Sclerosis;Nausea;Neuropathy;Nightmare;Obesity;Ophthalmia;Osteoporosis;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Prostatitis;Psoriasis;Rheumatism;Sciatica;Sepsis;Sinusitis;Snakebite;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles,24
Omega-3 / Fish Oil,Omega-3 / Fish Oil,,,,curated,human_trial,True,,,,,,,0
Chromium,Chromium,,,,curated,human_trial,True,,immune_modulating,immunotherapy_caution,CHROMIUM,Amphiglycemic?;AntiAGE;AntiCFS;Antiacne;Antiaging;Antiatherosclerotic;Anticorneotic;Antidiabetic;Antidote (Lead);Antifatigue;Antiglycosuric;Antiobesity;Antisyndrome-X;Antitriglyceride;Cardioprotective;Energizer;Hypocholesterolemic;Hypoglycemic;Hypotensive;Immunomodulator;Insulinogenic;Memorigenic,ADD;AIDS/HIV;Aging;Allergy;Alzheimers;Angina;Anthrax;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Asthma;BO (Body Odor);BPH;Bipolar;Cancer;Canker Sores;Cardiopathy/Heart Problems;Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cough;Crohns Disease;Dandruff;Depression;Dermatitis/Dermatoses;Diabetes;Dry Mouth / Xerostomia;Fibromyalgia;Frigidity;GERD / Esophageal Reflux;Glaucoma;Hayfever;Heart Attack/Coronary Infarct;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Impotence;Incontinence;Infarction;Intermittent Claudication;Ischemia;Lipoma;Low Blood Pressure/Hypotension;Malaria;Menopause;Multiple Sclerosis;Neuropathy;Obesity;Prostatitis;Sinusitis;Sore Throat / Laryngitis / Pharyngitis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Tuberculosis;Varicose Veins;Viral Infections (Chronic);Warts;Wrinkles,19
L-Arginine,L-Arginine,,,,curated,human_trial,True,,,,L-ARGININE,ACE-Inhibitor,Alzheimers;Angina;Cardiopathy/Heart Problems;High Blood Pressure/Hypertension;Syndrome X,3
Phosphatidylcholine,Phosphatidylcholine,,,,curated,human_trial,True,,,,PHOSPHATIDYL-CHOLINE,Antialzheimeran;Antimanic,ADD;Aging;Alzheimers;Bipolar;Incontinence,5
EDTA (oral chelation),EDTA (oral chelation),oral chelation,,,curated,human_trial,True,,,,,,,0
Garcinia / HCA,Garcinia / HCA,,,,curated,human_trial,True,,,,,,,0
Berberine,Berberine,,,,curated,human_trial,True,,anti_inflammatory;anti_angiogenic,immunotherapy_caution;photosensitizing;pregnancy_caution,BERBERINE,(+)-Inotropic;Abortifacient;Adrenolytic;Amebicide;Analgesic;Anesthetic;Antiacetylcholinesterase;Antiacne;Antiadrenergic;Antiaggregant;Antialzheimeran;Antiamnesic;Antiangiogenic;Antiarrhythmic;Antiarthritic;Antibacillus;Antibacterial;Antibiotic;Anticancer;Anticariogenic;Antichlamydial;Anticholecystitic;Anticholera;Anticirrhotic;Anticonjunctivitic;Anticonvulsant;Antidiarrheic;Antidysenteric;Antiedemic;Antiendotoxic;Antienterotoxic;Antiesherichic;Antigiardial;Antiglaucomic;Antigonorrhea;Antihepatomic;Antihepatotic;Antiherpetic;Antihistaminic;Antiinflammatory;Antiischemic;Antileishmanic;Antilipogenic;Antimalarial;Antimitotic;Antimuscarinic;Antimyalgic;Antimycotic;Antineoplastic;Antinephritic;Antiperistaltic;Antipharyngitic;Antiphotooxidative;Antiplasmodial;Antipneumonic;Antipyretic;Antisalmonella;Antisecretory;Antiseptic;Antishigellic;Antispasmodic;Antispermigenic;Antistaphylococcic;Antistrep;Antisyphilitic;Antitrachomic;Antitrypanosomic;Antitubercular;Antitumor (brain);Antiulcer;Antivaginitic;Antiviral;Astringent;Bilirubinolytic;COX-2-Inhibitor;Calcium-Antagonist;Candidicide;Cardiodepressant;Cardiotonic;Carminative;Cholagogue;Cholekinetic;Choleretic;Collyrium;Cyclooxygenase-Inhibitor;Cytotoxic;Digestive;Diuretic;Emetic;Fungicide;Glaucomagenic;Hemostat;Hypocholesterolemic;Hypoglycemic;Hypotensive;Immunostimulant;Lachrymatory;Larvicide;Leucocytogenic;Lipase-Inhibitor;Lipoxygenase-Inhibitor;Mutagenic;Mycobactericide;Mydriatic;Myocardiodepressant;Myorelaxant;Pesticide;Phototoxic;Plasmodicide;Prostaglandin-Synthesis-Inhibitor;Protisticide;RNA-Depressant;RT-Inhibitor;Respiradepressant;Sedative;Stomachic;Topoisomerase-II-Inhibitor;Trichomonicide;Trypanocide;Uterocontractant;Uterotonic;Vagostimulant;Vasoconstrictor;Vasodilator;Vermifuge;Vibriofuge,ADD;AIDS/HIV;Aging;Allergy;Altitude Sickness;Alzheimers;Angina;Anthrax;Anxiety Disorders;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Candidiasis;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Conjunctivitis;Constipation;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diarrhea;Diverticulitis;Dry Mouth / Xerostomia;Dysentery;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Giardia;Gingivitis;Glaucoma;Gout;Halitosis;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;Hiccups;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;Hot Flashes;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Insomnia;Intermittent Claudication;Intestinal Parasites;Ischemia;Itch;Jaundice;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Menopause;Migraine;Motion Sickness;Multiple Sclerosis;Nausea;Neuropathy;Nightmare;Obesity;Ophthalmia;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Prostatitis;Psoriasis;Raynauds Disease;Rheumatism;Sciatica;Sepsis;Sinusitis;Snakebite;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles;Yeast Infection,29
Glucosamine / Chondroitin,Glucosamine / Chondroitin,,,,curated,human_trial,True,,,,GLUCOSAMINE,Antiarthritic,Aging;Arthritis;Backache;Bunion;Bursitis;Carpal Tunnel Syndrome (CTS);Fibromyalgia;Lyme Disease (Chronic);Lyme Disease (Initial);Multiple Sclerosis;Neuropathy;Rheumatism;Sciatica,8
HMB (beta-hydroxy-beta-methylbutyrate),HMB (beta-hydroxy-beta-methylbutyrate),beta-hydroxy-beta-methylbutyrate,,,curated,human_trial,True,,,,,,,0
Forskolin,Forskolin,,,,curated,human_trial,True,,anti_inflammatory;anti_metastatic;immune_modulating,bleeding_risk,FORSKOLIN,ACTH-genic;Adenylate-Cyclase-Activator;Adrenergic;Amebicide;Antiaggregant;Antiasthmatic;Antibronchitic;Antiglaucomic;Antihistaminic;Antiinflammatory;Antimetastatic;Antimitotic;Antiplatelet;Antipsoriac;Antispasmodic;Antithrombotic;Antithyreotropic;Beta-Adrenergic Receptor Blocker;Bronchodilator;Cardiotonic;Gastrostimulant;Hypotensive;Inotropic;Lipolytic;Mast-Cell-Stabilizer;Myorelaxant;Osteoclastic;Pancreatonic;Prolactinogenic;Secretogogue;Sialogogue;Thyrotropic;Vasodilator;cAMP-genic,ADD;AIDS/HIV;Aging;Allergy;Altitude Sickness;Alzheimers;Angina;Anorexia;Anthrax;Apoplexy/Stroke;Appetite;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Venous Insufficiency/CVI;Cold/Flu;Conjunctivitis;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diarrhea;Diverticulitis;Dry Mouth / Xerostomia;Dysentery;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Giardia;Gingivitis;Glaucoma;Gout;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;Hiccups;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Insomnia;Intermittent Claudication;Intestinal Parasites;Ischemia;Itch;Jaundice;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Migraine;Multiple Sclerosis;Neuropathy;Nightmare;Obesity;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Prostatitis;Psoriasis;Rheumatism;Sciatica;Sepsis;Sinusitis;Snakebite;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Wound,22
Vitamin D3,Vitamin D3,,,,curated,human_trial,True,,,,,,,0
Sulforaphane / Broccoli Seed Extract,Sulforaphane / Broccoli Seed Extract,,,,curated,human_trial,True,,antioxidant,antioxidant_chemo_timing,SULFORAPHANE,Antioxidant;Quinone-Reductase-Inducer,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Alzheimers;Angina;Anthrax;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Asthma;BPH;Bipolar;Bronchitis;Bunion;Burns;Cancer;Canker Sores;Cardiopathy/Heart Problems;Caries;Cataracts;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Cough;Crohns Disease;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diverticulitis;Dyspepsia/Indigestion;Emphysema;Fever;Fibromyalgia;Gingivitis;Glaucoma;Hangover;Hayfever;Heart Attack/Coronary Infarct;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Infarction;Intermittent Claudication;Ischemia;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Macular Degeneration;Maculitis;Malaria;Melanoma;Menopause;Multiple Sclerosis;Neuropathy;Ophthalmia;Parkinsons Disease;Pneumonia;Psoriasis;Sinusitis;Sore Throat / Laryngitis / Pharyngitis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Toothache;Tuberculosis;Ulcer;Varicose Veins;Wrinkles,14
Hemp / CBD,Hemp / CBD,,,,curated,human_trial,True,,,,,,,0
Garlic (allicin),Garlic (allicin),allicin,,,curated,human_trial,True,,antioxidant;pro_oxidant;anti_inflammatory;anti_proliferative,antioxidant_chemo_timing;bleeding_risk;hepatic;immunotherapy_caution,ALLICIN,Alcohol-Dehydrogenase-Inhibitor;Allergenic;Amebicide;Anthelmintic;Antiaggregant;Antiatherosclerotic;Antibacterial;Antibiotic;Anticholinesterase;Antidiabetic;Antiflu;Antiglaucomic;Antiherpetic;Antihypertensive;Antiinflammatory;Antileukemic;Antileukotriene;Antilymphomic;Antimutagenic;Antineuralgic;Antioxidant;Antiplatelet;Antiproliferant;Antiprostaglandin;Antiradicular;Antisarcomic;Antiseptic;Antishigellic;Antistaphylococcic;Antitriglyceride;Antitubercular;Antitumor;Antiviral;Apoptotic;Calcium-Antagonist;Candidicide;Cyclooxygenase-Inhibitor;Fungicide;Gram(+)icide;Gram(-)icide;Hepatotoxic;Hypocholesterolemic;Hypoglycemic;Hypolipidemic;Immunostimulant;Insecticide;Insulin-Sparing;Larvicide;Lipolytic;Lipoxygenase-Inhibitor;Mucokinetic;Mycobactericide;NO-Inhibitor;Nematicide;Papain-Inhibitor;Pesticide;Phagocytotic;Prooxidant;Prostaglandin-Synthetase-Inhibitor;Succinate-Dehydrogenase-Inhibitor;Trichomonicide;Urease-Inhibitor;Vibriocide;Xanthine-Oxidase-Inhibitor,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Altitude Sickness;Alzheimers;Angina;Anthrax;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Candidiasis;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Conjunctivitis;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diarrhea;Diverticulitis;Dry Mouth / Xerostomia;Dysentery;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Giardia;Gingivitis;Glaucoma;Gout;Halitosis;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Intermittent Claudication;Intestinal Parasites;Ischemia;Itch;Jaundice;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Menopause;Migraine;Multiple Sclerosis;Neuropathy;Obesity;Ophthalmia;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Prostatitis;Psoriasis;Raynauds Disease;Rheumatism;Sciatica;Sepsis;Sinusitis;Snakebite;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles;Yeast Infection,29
DIM (Diindolylmethane),DIM (Diindolylmethane),Diindolylmethane,,,curated,human_trial,True,,,,,,,0
Vitamin B12,Vitamin B12,,,,curated,human_trial,True,,,,,,,0
L-Lysine,L-Lysine,,,,curated,human_trial,True,,,,,,,0
Taurine,Taurine,,,,curated,human_trial,True,,antioxidant,antioxidant_chemo_timing,TAURINE,Anticorneitic;Antihemolytic;Antioxidant;Cancer-Preventive;Cardiac;Hypocholesterolemic,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Alzheimers;Angina;Anthrax;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Asthma;BPH;Bipolar;Bronchitis;Bunion;Burns;Cancer;Canker Sores;Cardiopathy/Heart Problems;Caries;Cataracts;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Cough;Crohns Disease;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diverticulitis;Dyspepsia/Indigestion;Emphysema;Fever;Fibromyalgia;Gingivitis;Glaucoma;Hangover;Hayfever;Heart Attack/Coronary Infarct;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Infarction;Intermittent Claudication;Ischemia;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Macular Degeneration;Maculitis;Malaria;Melanoma;Menopause;Multiple Sclerosis;Neuropathy;Obesity;Ophthalmia;Parkinsons Disease;Pneumonia;Prostatitis;Psoriasis;Sinusitis;Sore Throat / Laryngitis / Pharyngitis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;Ulcer;Varicose Veins;Wrinkles,19
DHEA,DHEA,,,,curated,human_trial,True,,,,,,,0
Artemisinin,Artemisinin,,,,curated,human_trial,True,,immune_modulating,immunotherapy_caution;pregnancy_caution,ARTEMISININ,Antimalarial;Antitumor;Antiviral;Calcium-Antagonist;Cytotoxic;Herbicide;Immunomodulator;MDR-Inhibitor;Neurotoxic;Pesticide;Plasmodicide;Schizonticide;Teratogenic,ADD;AIDS/HIV;Allergy;Angina;Anthrax;Arteriosclerosis/Atherosclerosis;Asthma;Athletes Foot;BPH;Bipolar;Bronchitis;Burns;Cancer;Candidiasis;Canker Sores;Cardiopathy/Heart Problems;Chronic Fatigue Syndrome;Cold/Flu;Conjunctivitis;Cough;Crohns Disease;Dandruff;Decubitis;Dermatitis/Dermatoses;Diarrhea;Dry Mouth / Xerostomia;Dysentery;Fever;Fibromyalgia;Fungus/Mycosis;GERD / Esophageal Reflux;Gingivitis;Hayfever;Hepatoses/Liver;Herpes;Infection;Intestinal Parasites;Jaundice;Leishmaniasis;Lipoma;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Malaria;Melanoma;Multiple Sclerosis;Neuropathy;Otitis/Earache;Pneumonia;Sepsis;Sinusitis;Sore;Sore Throat / Laryngitis / Pharyngitis;Stress;Sunburn;Syndrome X;Tuberculosis;UTI;Ulcer;Vaginitis;Viral Infections (Chronic);Warts;Wound;Yeast Infection,21
Astragalus,Astragalus,,,,curated,human_trial,True,,,,,,,0
